Wavelength (nm),Irradiance W/m2/nm,"Wavelength, microns",E-490 W/m2/micron
119.5,6.19E-05,0.1195,6.19E-02
120.5,5.61E-04,0.1205,0.5614
121.5,4.90E-03,0.1215,4.901
122.5,1.18E-03,0.1225,1.184
123.5,4.77E-05,0.1235,4.77E-02
124.5,3.43E-05,0.1245,3.43E-02
125.5,2.88E-05,0.1255,2.88E-02
126.5,3.52E-05,0.1265,3.52E-02
127.5,2.13E-05,0.1275,2.13E-02
128.5,1.73E-05,0.1285,1.73E-02
129.5,3.99E-05,0.1295,3.99E-02
130.5,1.21E-04,0.1305,0.1206
131.5,3.98E-05,0.1315,3.98E-02
132.5,4.13E-05,0.1325,4.13E-02
133.5,1.68E-04,0.1335,0.168
134.5,4.57E-05,0.1345,4.57E-02
135.5,3.80E-05,0.1355,3.80E-02
136.5,3.09E-05,0.1365,3.09E-02
137.5,2.92E-05,0.1375,2.92E-02
138.5,3.97E-05,0.1385,3.97E-02
139.5,7.56E-05,0.1395,7.56E-02
140.5,6.08E-05,0.1405,6.08E-02
141.5,4.21E-05,0.1415,4.21E-02
142.5,4.68E-05,0.1425,4.68E-02
143.5,5.11E-05,0.1435,5.11E-02
144.5,5.09E-05,0.1445,5.09E-02
145.5,5.54E-05,0.1455,5.54E-02
146.5,7.09E-05,0.1465,7.09E-02
147.5,8.49E-05,0.1475,8.49E-02
148.5,8.20E-05,0.1485,8.20E-02
149.5,7.96E-05,0.1495,7.96E-02
150.5,8.70E-05,0.1505,8.70E-02
151.5,9.27E-05,0.1515,9.27E-02
152.5,1.16E-04,0.1525,0.1163
153.5,1.30E-04,0.1535,0.1299
154.5,2.06E-04,0.1545,0.2059
155.5,2.14E-04,0.1555,0.2144
156.5,1.85E-04,0.1565,0.1847
157.5,1.72E-04,0.1575,0.1717
158.5,1.68E-04,0.1585,0.1675
159.5,1.75E-04,0.1595,0.1754
160.5,1.93E-04,0.1605,0.1934
161.5,2.23E-04,0.1615,0.2228
162.5,2.52E-04,0.1625,0.2519
163.5,2.84E-04,0.1635,0.2841
164.5,2.97E-04,0.1645,0.2973
165.5,4.30E-04,0.1655,0.4302
166.5,3.99E-04,0.1665,0.3989
167.5,3.88E-04,0.1675,0.3875
168.5,4.56E-04,0.1685,0.4556
169.5,5.88E-04,0.1695,0.5877
170.5,6.62E-04,0.1705,0.6616
171.5,6.88E-04,0.1715,0.688
172.5,7.25E-04,0.1725,0.7252
173.5,7.65E-04,0.1735,0.7645
174.5,9.07E-04,0.1745,0.9067
175.5,1.08E-03,0.1755,1.079
176.5,1.22E-03,0.1765,1.22
177.5,1.40E-03,0.1775,1.403
178.5,1.54E-03,0.1785,1.538
179.5,1.58E-03,0.1795,1.576
180.5,1.83E-03,0.1805,1.831
181.5,2.23E-03,0.1815,2.233
182.5,2.24E-03,0.1825,2.243
183.5,2.24E-03,0.1835,2.244
184.5,2.07E-03,0.1845,2.066
185.5,2.31E-03,0.1855,2.311
186.5,2.70E-03,0.1865,2.7
187.5,3.01E-03,0.1875,3.009
188.5,3.29E-03,0.1885,3.291
189.5,3.57E-03,0.1895,3.569
190.5,3.76E-03,0.1905,3.764
191.5,4.17E-03,0.1915,4.165
192.5,4.11E-03,0.1925,4.113
193.5,3.81E-03,0.1935,3.808
194.5,5.21E-03,0.1945,5.21
195.5,5.43E-03,0.1955,5.427
196.5,6.01E-03,0.1965,6.008
197.5,6.19E-03,0.1975,6.191
198.5,6.19E-03,0.1985,6.187
199.5,6.66E-03,0.1995,6.664
200.5,7.33E-03,0.2005,7.326
201.5,8.02E-03,0.2015,8.023
202.5,8.26E-03,0.2025,8.261
203.5,9.22E-03,0.2035,9.217
204.5,1.03E-02,0.2045,10.25
205.5,1.05E-02,0.2055,10.54
206.5,1.11E-02,0.2065,11.08
207.5,1.27E-02,0.2075,12.65
208.5,1.51E-02,0.2085,15.05
209.5,2.14E-02,0.2095,21.38
210.5,2.79E-02,0.2105,27.92
211.5,3.35E-02,0.2115,33.54
212.5,3.13E-02,0.2125,31.3
213.5,3.32E-02,0.2135,33.15
214.5,4.00E-02,0.2145,40.03
215.5,3.62E-02,0.2155,36.15
216.5,3.23E-02,0.2165,32.27
217.5,3.53E-02,0.2175,35.29
218.5,4.44E-02,0.2185,44.37
219.5,4.69E-02,0.2195,46.92
220.5,4.73E-02,0.2205,47.33
221.5,3.96E-02,0.2215,39.58
222.5,4.97E-02,0.2225,49.65
223.5,6.30E-02,0.2235,63.01
224.5,5.90E-02,0.2245,58.97
225.5,5.23E-02,0.2255,52.29
226.5,3.94E-02,0.2265,39.4
227.5,3.99E-02,0.2275,39.92
228.5,5.20E-02,0.2285,51.95
229.5,4.77E-02,0.2295,47.71
230.5,5.21E-02,0.2305,52.12
231.5,5.10E-02,0.2315,50.97
232.5,5.33E-02,0.2325,53.26
233.5,4.47E-02,0.2335,44.74
234.5,3.90E-02,0.2345,38.97
235.5,5.14E-02,0.2355,51.42
236.5,4.86E-02,0.2365,48.59
237.5,4.84E-02,0.2375,48.44
238.5,4.20E-02,0.2385,41.96
239.5,4.41E-02,0.2395,44.12
240.5,3.96E-02,0.2405,39.56
241.5,5.15E-02,0.2415,51.48
242.5,7.06E-02,0.2425,70.6
243.5,6.65E-02,0.2435,66.53
244.5,6.10E-02,0.2445,60.97
245.5,4.94E-02,0.2455,49.39
246.5,5.04E-02,0.2465,50.4
247.5,5.55E-02,0.2475,55.5
248.5,4.57E-02,0.2485,45.65
249.5,5.64E-02,0.2495,56.38
250.5,6.01E-02,0.2505,60.1
251.5,4.60E-02,0.2515,46.01
252.5,4.16E-02,0.2525,41.55
253.5,5.16E-02,0.2535,51.55
254.5,5.96E-02,0.2545,59.57
255.5,7.93E-02,0.2555,79.3
256.5,1.02E-01,0.2565,101.8
257.5,1.25E-01,0.2575,125.4
258.5,1.25E-01,0.2585,125.1
259.5,1.04E-01,0.2595,104
260.5,8.55E-02,0.2605,85.51
261.5,8.98E-02,0.2615,89.8
262.5,1.04E-01,0.2625,103.6
263.5,1.66E-01,0.2635,165.8
264.5,2.50E-01,0.2645,249.7
265.5,2.53E-01,0.2655,252.7
266.5,2.49E-01,0.2665,249.4
267.5,2.51E-01,0.2675,250.8
268.5,2.44E-01,0.2685,243.8
269.5,2.39E-01,0.2695,238.9
270.5,2.67E-01,0.2705,267.3
271.5,2.24E-01,0.2715,224.4
272.5,1.97E-01,0.2725,197.4
273.5,1.97E-01,0.2735,196.5
274.5,1.33E-01,0.2745,132.6
275.5,1.75E-01,0.2755,175.1
276.5,2.43E-01,0.2765,242.8
277.5,2.34E-01,0.2775,233.8
278.5,1.59E-01,0.2785,159.3
279.5,8.56E-02,0.2795,85.55
280.5,9.46E-02,0.2805,94.63
281.5,2.08E-01,0.2815,208.3
282.5,2.94E-01,0.2825,294.1
283.5,3.14E-01,0.2835,313.5
284.5,2.35E-01,0.2845,235.3
285.5,1.63E-01,0.2855,163.1
286.5,3.23E-01,0.2865,322.7
287.5,3.36E-01,0.2875,336.3
288.5,3.22E-01,0.2885,322.2
289.5,4.73E-01,0.2895,472.7
290.5,6.01E-01,0.2905,601.3
291.5,5.81E-01,0.2915,580.8
292.5,5.22E-01,0.2925,521.9
293.5,5.36E-01,0.2935,535.5
294.5,5.09E-01,0.2945,508.8
295.5,5.53E-01,0.2955,553.2
296.5,5.10E-01,0.2965,509.6
297.5,5.07E-01,0.2975,507.3
298.5,4.66E-01,0.2985,465.5
299.5,4.84E-01,0.2995,484
300.5,4.20E-01,0.3005,420
301.5,4.56E-01,0.3015,455.5
302.5,4.89E-01,0.3025,489
303.5,6.21E-01,0.3035,620.6
304.5,6.03E-01,0.3045,602.5
305.5,5.95E-01,0.3055,594.8
306.5,5.56E-01,0.3065,555.7
307.5,6.15E-01,0.3075,615
308.5,6.11E-01,0.3085,611.4
309.5,4.97E-01,0.3095,496.5
310.5,6.22E-01,0.3105,622.4
311.5,7.29E-01,0.3115,729.2
312.5,6.56E-01,0.3125,655.9
313.5,7.00E-01,0.3135,699.9
314.5,6.63E-01,0.3145,662.9
315.5,6.33E-01,0.3155,633
316.5,6.33E-01,0.3165,633.2
317.5,7.74E-01,0.3175,773.9
318.5,6.65E-01,0.3185,664.9
319.5,7.11E-01,0.3195,710.5
320.5,8.05E-01,0.3205,805.1
321.5,7.00E-01,0.3215,699.5
322.5,6.89E-01,0.3225,688.6
323.5,6.61E-01,0.3235,661.3
324.5,7.61E-01,0.3245,760.8
325.5,8.76E-01,0.3255,875.8
326.5,9.80E-01,0.3265,979.5
327.5,9.53E-01,0.3275,952.7
328.5,9.18E-01,0.3285,917.6
329.5,1.06E+00,0.3295,1061
330.5,1.02E+00,0.3305,1016
331.5,9.66E-01,0.3315,965.7
332.5,9.55E-01,0.3325,954.9
333.5,9.22E-01,0.3335,921.6
334.5,9.59E-01,0.3345,958.9
335.5,9.43E-01,0.3355,943.4
336.5,8.10E-01,0.3365,809.5
337.5,8.42E-01,0.3375,841.8
338.5,9.22E-01,0.3385,921.5
339.5,9.58E-01,0.3395,958.1
340.5,1.01E+00,0.3405,1007
341.5,9.24E-01,0.3415,923.8
342.5,9.93E-01,0.3425,993
343.5,9.51E-01,0.3435,950.6
344.5,7.96E-01,0.3445,795.7
345.5,9.39E-01,0.3455,939.2
346.5,9.26E-01,0.3465,926.4
347.5,9.02E-01,0.3475,901.7
348.5,8.97E-01,0.3485,897.2
349.5,8.90E-01,0.3495,889.8
350.5,1.05E+00,0.3505,1050
351.5,9.80E-01,0.3515,979.5
352.5,9.08E-01,0.3525,907.9
353.5,1.03E+00,0.3535,1033
354.5,1.11E+00,0.3545,1111
355.5,1.05E+00,0.3555,1045
