Wavelength (nm),Irradiance W/m2/nm,"Wavelength, microns",E-490 W/m2/micron
703,1.39E+00,0.703,1388
705,1.42E+00,0.705,1415
707,1.40E+00,0.707,1400
709,1.38E+00,0.709,1384
711,1.39E+00,0.711,1385
713,1.37E+00,0.713,1373
715,1.37E+00,0.715,1366
717,1.35E+00,0.717,1354
719,1.33E+00,0.719,1328
721,1.33E+00,0.721,1331
723,1.35E+00,0.723,1348
725,1.35E+00,0.725,1350
727,1.35E+00,0.727,1346
729,1.32E+00,0.729,1319
731,1.33E+00,0.731,1326
733,1.32E+00,0.733,1318
735,1.31E+00,0.735,1309
737,1.31E+00,0.737,1307
739,1.28E+00,0.739,1278
741,1.26E+00,0.741,1258
743,1.29E+00,0.743,1286
745,1.28E+00,0.745,1279
747,1.28E+00,0.747,1283
749,1.27E+00,0.749,1270
751,1.26E+00,0.751,1262
753,1.26E+00,0.753,1259
755,1.26E+00,0.755,1255
757,1.25E+00,0.757,1248
759,1.24E+00,0.759,1240
761,1.24E+00,0.761,1237
763,1.24E+00,0.763,1241
765,1.22E+00,0.765,1221
767,1.19E+00,0.767,1185
769,1.20E+00,0.769,1203
771,1.20E+00,0.771,1204
773,1.21E+00,0.773,1208
775,1.19E+00,0.775,1188
777,1.20E+00,0.777,1196
779,1.19E+00,0.779,1187
781,1.19E+00,0.781,1187
783,1.18E+00,0.783,1176
785,1.18E+00,0.785,1180
787,1.18E+00,0.787,1177
789,1.17E+00,0.789,1174
791,1.16E+00,0.791,1158
793,1.14E+00,0.793,1143
795,1.13E+00,0.795,1134
797,1.15E+00,0.797,1152
799,1.14E+00,0.799,1135
801,1.14E+00,0.801,1142
803,1.13E+00,0.803,1129
805,1.12E+00,0.805,1115
807,1.12E+00,0.807,1120
809,1.10E+00,0.809,1095
811,1.11E+00,0.811,1114
813,1.12E+00,0.813,1115
815,1.11E+00,0.815,1107
817,1.10E+00,0.817,1104
819,1.06E+00,0.819,1063
821,1.08E+00,0.821,1080
823,1.07E+00,0.823,1073
825,1.08E+00,0.825,1075
826,1.08E+00,0.826,1080
828,1.08E+00,0.828,1081
830,1.06E+00,0.83,1063
832,1.05E+00,0.832,1051
834,1.04E+00,0.834,1041
836,1.05E+00,0.836,1052
838,1.04E+00,0.838,1044
840,1.04E+00,0.84,1040
842,1.04E+00,0.842,1036
844,1.02E+00,0.844,1024
846,1.03E+00,0.846,1028
848,1.02E+00,0.848,1023
850,9.66E-01,0.85,966
852,9.96E-01,0.852,996.1
854,8.78E-01,0.854,878
856,9.76E-01,0.856,975.5
858,1.01E+00,0.858,1005
860,9.97E-01,0.86,996.9
862,9.95E-01,0.862,994.9
864,9.99E-01,0.864,999.3
866,8.86E-01,0.866,886.2
868,9.40E-01,0.868,939.5
870,9.75E-01,0.87,974.7
872,9.83E-01,0.872,983.3
874,9.71E-01,0.874,971.3
876,9.64E-01,0.876,964
878,9.75E-01,0.878,974.9
880,9.55E-01,0.88,955.4
882,9.51E-01,0.882,951.1
884,9.58E-01,0.884,957.9
886,9.38E-01,0.886,938.3
888,9.44E-01,0.888,944.3
890,9.53E-01,0.89,953
892,9.39E-01,0.892,939.4
894,9.33E-01,0.894,933.2
896,9.39E-01,0.896,938.7
898,9.34E-01,0.898,933.9
900,9.16E-01,0.9,915.8
902,8.92E-01,0.902,891.6
904,9.29E-01,0.904,928.5
906,9.18E-01,0.906,917.6
908,9.03E-01,0.908,902.5
910,8.92E-01,0.91,891.6
912,8.97E-01,0.912,896.7
914,9.07E-01,0.914,907.1
916,9.00E-01,0.916,900.4
918,8.95E-01,0.918,895.1
920,8.91E-01,0.92,890.8
922,8.63E-01,0.922,863
924,8.59E-01,0.924,858.5
926,8.61E-01,0.926,861.2
928,8.77E-01,0.928,876.9
930,8.68E-01,0.93,867.7
932,8.65E-01,0.932,865.1
934,8.64E-01,0.934,864.1
936,8.55E-01,0.936,854.7
938,8.58E-01,0.938,858
940,8.44E-01,0.94,843.8
942,8.25E-01,0.942,825
944,8.32E-01,0.944,832.4
946,8.38E-01,0.946,837.5
948,8.41E-01,0.948,840.7
950,8.37E-01,0.95,836.9
952,8.32E-01,0.952,831.7
954,8.08E-01,0.954,808
956,8.08E-01,0.956,808.2
958,8.19E-01,0.958,818.8
960,8.15E-01,0.96,815.1
962,8.09E-01,0.962,808.9
964,8.01E-01,0.964,801.3
966,7.95E-01,0.966,794.7
968,7.97E-01,0.968,796.9
970,7.96E-01,0.97,795.9
972,7.94E-01,0.972,793.6
974,7.82E-01,0.974,781.5
976,7.83E-01,0.976,782.5
978,7.78E-01,0.978,777.9
980,7.75E-01,0.98,774.6
982,7.76E-01,0.982,776.4
984,7.70E-01,0.984,769.8
986,7.66E-01,0.986,766.1
988,7.62E-01,0.988,761.5
990,7.54E-01,0.99,754.1
992,7.57E-01,0.992,756.7
994,7.56E-01,0.994,755.6
996,7.53E-01,0.996,752.5
998,7.51E-01,0.998,751
1000,7.48E-01,1,747.9
1002,7.47E-01,1.002,746.9
1004,7.26E-01,1.004,726.1
1006,7.14E-01,1.006,713.6
1008,7.34E-01,1.008,733.5
1010,7.31E-01,1.01,731.3
1012,7.26E-01,1.012,726.2
1014,7.21E-01,1.014,721
1016,7.14E-01,1.016,713.9
1018,7.11E-01,1.018,710.7
1020,7.04E-01,1.02,704.1
1022,7.02E-01,1.022,702.1
1024,7.05E-01,1.024,705.4
1026,7.03E-01,1.026,702.7
1028,6.99E-01,1.028,698.9
1030,6.94E-01,1.03,693.7
1032,6.91E-01,1.032,690.5
1034,6.82E-01,1.034,681.7
1036,6.84E-01,1.036,684
1038,6.77E-01,1.038,677.2
1040,6.76E-01,1.04,676.1
1042,6.75E-01,1.042,674.6
1044,6.71E-01,1.044,671.4
1046,6.60E-01,1.046,660
1048,6.64E-01,1.048,664.4
1050,6.62E-01,1.05,662.2
1052,6.59E-01,1.052,658.6
1054,6.55E-01,1.054,654.9
1056,6.56E-01,1.056,655.7
1058,6.45E-01,1.058,645.1
1060,6.42E-01,1.06,641.5
1062,6.44E-01,1.062,643.8
1064,6.46E-01,1.064,645.9
1066,6.40E-01,1.066,639.5
1068,6.32E-01,1.068,631.7
1070,6.24E-01,1.07,624.1
1072,6.33E-01,1.072,632.6
1074,6.28E-01,1.074,627.6
1076,6.28E-01,1.076,628
1078,6.27E-01,1.078,627.2
1080,6.25E-01,1.08,624.7
1082,6.10E-01,1.082,609.9
1084,6.18E-01,1.084,618
1086,6.21E-01,1.086,620.8
1088,6.10E-01,1.088,610.3
1090,6.20E-01,1.09,619.9
1092,6.16E-01,1.092,615.9
1094,5.85E-01,1.094,584.9
1096,5.98E-01,1.096,598.3
1098,5.96E-01,1.098,596.1
1100,6.04E-01,1.1,604.2
1102,5.93E-01,1.102,593.2
1104,5.97E-01,1.104,597.4
1106,5.95E-01,1.106,594.5
1108,5.92E-01,1.108,591.6
1110,5.91E-01,1.11,590.6
1112,5.84E-01,1.112,584.3
1114,5.84E-01,1.114,584.4
1116,5.83E-01,1.116,583.1
1118,5.82E-01,1.118,581.5
1120,5.74E-01,1.12,574.1
1122,5.80E-01,1.122,579.6
1124,5.77E-01,1.124,576.9
1126,5.66E-01,1.126,565.5
1128,5.70E-01,1.128,570
1130,5.65E-01,1.13,565.3
1132,5.68E-01,1.132,567.8
1134,5.64E-01,1.134,563.8
1136,5.66E-01,1.136,565.8
1138,5.57E-01,1.138,556.9
1140,5.53E-01,1.14,553
1142,5.53E-01,1.142,553.1
1144,5.51E-01,1.144,551.4
1146,5.55E-01,1.146,554.8
1148,5.53E-01,1.148,552.5
1150,5.49E-01,1.15,548.9
1152,5.46E-01,1.152,545.8
1154,5.48E-01,1.154,547.9
1156,5.46E-01,1.156,545.5
1158,5.44E-01,1.158,543.5
1160,5.32E-01,1.16,532
1162,5.33E-01,1.162,532.5
1164,5.33E-01,1.164,533.2
1166,5.30E-01,1.166,530.3
1168,5.31E-01,1.168,531.2
1170,5.28E-01,1.17,527.6
1172,5.32E-01,1.172,531.5
1174,5.27E-01,1.174,527.3
1176,5.18E-01,1.176,518.4
1178,5.19E-01,1.178,519
1180,5.24E-01,1.18,523.9
1182,5.16E-01,1.182,515.9
1184,5.10E-01,1.184,510.3
1186,5.19E-01,1.186,518.7
1188,5.08E-01,1.188,507.5
1190,5.09E-01,1.19,508.5
1192,5.16E-01,1.192,516.1
1194,5.15E-01,1.194,514.5
1196,5.08E-01,1.196,508.4
1198,4.94E-01,1.198,494.3
1200,5.00E-01,1.2,500.3
1202,5.07E-01,1.202,506.8
1204,4.95E-01,1.204,494.8
1206,5.04E-01,1.206,503.9
1208,4.89E-01,1.208,489
1210,4.88E-01,1.21,488.2
1212,4.93E-01,1.212,493.3
1214,4.94E-01,1.214,494.2
1216,4.93E-01,1.216,493
1218,4.90E-01,1.218,489.7
1220,4.88E-01,1.22,487.5
1222,4.85E-01,1.222,485.4
1224,4.85E-01,1.224,484.6
1226,4.82E-01,1.226,481.7
1228,4.77E-01,1.228,477.1
1230,4.79E-01,1.23,479.2
1232,4.75E-01,1.232,475
1234,4.73E-01,1.234,472.9
1236,4.72E-01,1.236,471.9
1238,4.70E-01,1.238,470.3
1240,4.65E-01,1.24,465.3
1242,4.64E-01,1.242,464.2
1244,4.62E-01,1.244,461.9
1246,4.64E-01,1.246,463.5
1248,4.63E-01,1.248,463.3
1250,4.62E-01,1.25,462.4
1252,4.57E-01,1.252,457.1
1254,4.57E-01,1.254,457.4
1256,4.55E-01,1.256,455.1
1258,4.53E-01,1.258,453.3
1260,4.53E-01,1.26,453
1262,4.50E-01,1.262,449.7
1264,4.48E-01,1.264,447.8
1266,4.47E-01,1.266,446.7
1268,4.42E-01,1.268,441.7
1270,4.45E-01,1.27,445.3
1272,4.45E-01,1.272,445.2
1274,4.43E-01,1.274,443.1
1276,4.45E-01,1.276,445.1
1278,4.44E-01,1.278,444
1280,4.36E-01,1.28,435.6
1282,4.01E-01,1.282,401.4
1284,4.26E-01,1.284,425.9
1286,4.33E-01,1.286,432.8
1288,4.31E-01,1.288,431.4
1290,4.26E-01,1.29,425.5
1292,4.25E-01,1.292,425.4
1294,4.22E-01,1.294,422.3
1296,4.22E-01,1.296,422.4
1298,4.18E-01,1.298,418.4
1300,4.19E-01,1.3,418.6
1302,4.14E-01,1.302,413.9
1304,4.11E-01,1.304,411.1
1306,4.14E-01,1.306,413.6
1308,4.12E-01,1.308,412.3
1310,4.11E-01,1.31,410.6
1312,4.03E-01,1.312,403.3
1314,4.02E-01,1.314,402.2
1316,3.98E-01,1.316,397.9
1318,4.02E-01,1.318,401.7
1320,4.02E-01,1.32,401.6
1322,3.99E-01,1.322,398.6
1324,3.98E-01,1.324,398.1
1326,3.95E-01,1.326,394.9
1328,3.91E-01,1.328,390.8
1330,3.88E-01,1.33,387.8
1332,3.86E-01,1.332,386.3
1334,3.89E-01,1.334,389.2
1336,3.87E-01,1.336,386.6
1338,3.83E-01,1.338,383.2
1340,3.79E-01,1.34,379
1342,3.81E-01,1.342,380.5
1344,3.80E-01,1.344,379.8
1346,3.77E-01,1.346,377.2
1348,3.77E-01,1.348,376.6
1350,3.72E-01,1.35,372.4
1352,3.74E-01,1.352,374.2
1354,3.72E-01,1.354,372.2
1356,3.68E-01,1.356,367.5
1358,3.69E-01,1.358,368.8
1360,3.67E-01,1.36,367.3
1362,3.68E-01,1.362,367.7
1364,3.66E-01,1.364,365.7
1366,3.66E-01,1.366,365.7
1368,3.63E-01,1.368,362.8
1370,3.60E-01,1.37,359.9
1372,3.62E-01,1.372,362.1
1374,3.61E-01,1.374,361.1
1376,3.56E-01,1.376,356.1
1378,3.58E-01,1.378,358
1380,3.58E-01,1.38,357.9
1382,3.55E-01,1.382,354.5
1384,3.55E-01,1.384,354.7
1386,3.53E-01,1.386,353.2
1388,3.53E-01,1.388,353
1390,3.51E-01,1.39,350.6
1392,3.51E-01,1.392,351.3
1394,3.49E-01,1.394,348.8
1396,3.49E-01,1.396,348.7
1398,3.49E-01,1.398,349.2
1400,3.43E-01,1.4,342.7
1402,3.44E-01,1.402,343.9
1404,3.43E-01,1.404,342.8
1406,3.43E-01,1.406,343.1
1408,3.43E-01,1.408,342.7
1410,3.42E-01,1.41,341.8
1412,3.35E-01,1.412,334.8
1414,3.38E-01,1.414,337.7
1416,3.39E-01,1.416,338.5
1418,3.39E-01,1.418,338.6
1420,3.36E-01,1.42,335.7
1422,3.32E-01,1.422,331.5
1424,3.31E-01,1.424,331.1
1426,3.28E-01,1.426,328.1
1428,3.29E-01,1.428,328.5
1430,3.26E-01,1.43,325.7
1432,3.30E-01,1.432,330
1434,3.28E-01,1.434,328.4
1436,3.29E-01,1.436,328.5
1438,3.28E-01,1.438,328.3
1440,3.19E-01,1.44,318.8
1442,3.19E-01,1.442,318.6
1444,3.20E-01,1.444,319.7
1446,3.22E-01,1.446,321.6
1448,3.22E-01,1.448,321.6
1450,3.19E-01,1.45,318.7
1452,3.15E-01,1.452,315.4
1454,3.14E-01,1.454,314.3
1456,3.13E-01,1.456,313.1
1458,3.17E-01,1.458,316.7
1460,3.16E-01,1.46,315.6
1462,3.12E-01,1.462,312.1
1464,3.11E-01,1.464,310.5
1466,3.11E-01,1.466,310.8
1468,3.11E-01,1.468,311.4
1470,3.10E-01,1.47,310.2
1472,3.07E-01,1.472,307.3
1474,3.03E-01,1.474,303.4
1476,3.05E-01,1.476,304.8
1478,3.04E-01,1.478,304.4
1480,3.07E-01,1.48,306.8
1482,3.04E-01,1.482,304.4
1484,3.04E-01,1.484,303.9
1486,3.03E-01,1.486,303.3
1488,2.86E-01,1.488,285.5
1490,3.02E-01,1.49,301.5
1492,3.02E-01,1.492,301.8
1494,3.03E-01,1.494,303.3
1496,2.97E-01,1.496,297.2
1498,2.99E-01,1.498,299.4
1500,3.01E-01,1.5,301.1
1502,2.92E-01,1.502,292.4
1504,2.80E-01,1.504,279.9
1506,2.85E-01,1.506,284.8
1508,2.92E-01,1.508,291.9
1510,2.95E-01,1.51,294.7
1512,2.91E-01,1.512,291.3
1514,2.88E-01,1.514,288.3
1516,2.88E-01,1.516,288.2
1518,2.88E-01,1.518,288.4
1520,2.87E-01,1.52,286.6
1522,2.82E-01,1.522,282.4
1524,2.84E-01,1.524,283.5
1526,2.85E-01,1.526,284.6
1528,2.85E-01,1.528,284.6
1530,2.77E-01,1.53,276.5
1532,2.82E-01,1.532,282.3
1534,2.78E-01,1.534,278.4
1536,2.81E-01,1.536,280.6
1538,2.77E-01,1.538,277.3
1540,2.73E-01,1.54,273
1542,2.75E-01,1.542,275.3
1544,2.78E-01,1.544,277.8
1546,2.77E-01,1.546,277.2
1548,2.71E-01,1.548,271.1
1550,2.71E-01,1.55,271.3
1552,2.73E-01,1.552,273.1
